cat_name,gender,sleep_time,sleep_duration_minutes
Ashbey,Male,19:26:30,938.52
Reina,Female,12:51:51,602.95
Leslie,Male,19:56:05,692.42
Jeffrey,Male,2:37:32,960.25
Todd,Male,7:34:17,557.5
Bengt,Male,13:57:30,459.51
Leonanie,Female,15:08:00,279.62
Shawn,Male,12:03:30,683.46
Renata,Female,3:51:57,418.36
Roman,Male,18:12:22,895.32
Franny,Male,11:42:54,614.0
Dunc,Male,9:26:22,33.09
Ferdinand,Male,20:15:26,402.68
Ilka,Female,10:28:09,197.32
Forster,Male,5:40:38,784.38
Gaylord,Male,1:59:25,292.53
Ninetta,Female,18:16:15,229.9
Danny,Female,3:23:38,19.27
Dylan,Male,7:22:06,706.99
Kris,Female,20:54:33,851.87
Nevin,Male,1:47:24,985.91
Manolo,Male,22:31:19,997.58
Barry,Female,14:50:39,550.19
Kaylil,Female,11:20:20,577.45
Renaud,Male,5:34:51,869.02
Miltie,Male,1:12:47,836.16
Lancelot,Male,23:24:59,315.09
Sansone,Male,4:52:48,769.37
Jeane,Female,4:51:17,764.06
Cordie,Female,6:22:38,781.93
Hannah,Female,16:46:16,7.25
Jan,Female,17:21:07,721.85
Corella,Female,22:11:38,419.61
Fax,Male,2:34:28,370.17
Janaya,Female,11:40:14,1.07
Zuzana,Female,5:19:32,954.53
Astrix,Female,12:56:36,503.54
Dyna,Female,9:13:37,751.7
Bank,Male,19:42:08,754.37
Arny,Male,14:07:36,781.49
Nani,Female,12:15:14,331.95
Jaynell,Female,21:16:21,210.48
Darin,Male,9:28:52,500.06
Kim,Male,9:57:20,648.83
Rosco,Male,11:46:19,342.13
Elias,Male,22:53:26,668.67
Pablo,Male,20:21:23,694.7
Tessy,Female,8:46:27,52.14
Elka,Female,5:59:55,94.92
Arnoldo,Male,0:45:43,113.72
Jeramie,Male,1:32:46,491.98
Antonietta,Female,7:11:59,876.14
Hendrik,Male,19:49:07,472.11
Nicolas,Male,16:58:19,680.7
Ermentrude,Female,12:33:04,327.94
Brenna,Female,5:56:30,756.56
Neville,Male,22:56:22,838.2
Ophelia,Female,1:53:58,74.99
Cal,Female,9:21:59,90.11
Clevey,Male,3:52:06,503.74
Karney,Male,3:07:33,875.66
Lavina,Female,10:11:27,401.11
Dugald,Male,19:39:28,514.76
Kali,Female,1:46:10,277.86
Ulysses,Male,4:14:59,498.85
Hale,Male,23:34:26,122.49
Stephi,Female,3:42:41,372.09
Rey,Female,5:49:02,36.57
Carrissa,Female,14:10:42,632.46
Duane,Male,4:20:13,478.34
Eadie,Female,12:59:28,883.77
Sonja,Female,22:27:45,544.28
Merralee,Female,21:11:47,996.59
Bourke,Male,19:49:45,63.38
Jaymie,Male,0:33:17,534.62
Moses,Male,5:32:48,856.39
Gilles,Male,9:56:26,739.12
Mikaela,Female,19:41:36,876.79
Roscoe,Male,10:15:55,359.12
Woody,Male,2:41:31,987.36
Emelyne,Female,11:27:33,519.5
Estell,Female,18:25:57,568.36
Ginelle,Female,10:46:57,574.16
Jeffie,Male,2:54:49,906.56
Coral,Female,0:49:22,54.09
Monro,Male,17:31:41,953.46
Cirilo,Male,4:12:59,626.74
Loren,Female,18:32:18,470.04
Denney,Male,19:44:33,957.39
Pren,Male,21:17:02,901.3
Johanna,Female,15:50:41,323.96
Vivianne,Female,20:35:31,85.63
Vern,Male,13:41:05,569.9
Antony,Male,22:13:45,317.45
Lucinda,Female,23:58:33,124.58
Vin,Male,11:18:16,918.57
Gavra,Female,1:52:39,889.32
Tomas,Male,23:11:29,219.54
Eugenius,Male,15:20:25,256.33
Nikki,Female,15:37:28,681.17
Neddie,Male,9:29:42,178.02
Gladi,Female,16:58:51,194.22
Lyn,Male,13:12:54,889.53
Thayne,Male,15:12:47,469.17
Jeralee,Female,3:26:55,911.29
Kiel,Male,6:31:49,353.64
Heidi,Female,21:32:04,842.9
Hans,Male,8:30:35,157.78
Elaine,Female,18:55:56,882.8
Martha,Female,2:36:39,395.73
Debera,Female,15:16:09,322.13
Jeralee,Female,20:53:19,667.64
Garner,Male,10:16:34,438.6
Englebert,Male,6:22:50,79.02
Pierce,Male,18:27:14,347.03
Ekaterina,Female,0:58:44,596.63
Keane,Male,9:35:56,754.84
Kass,Female,17:25:59,677.67
Bert,Male,6:01:51,787.31
Sula,Female,20:50:06,956.32
Alvy,Male,5:06:42,101.43
Ali,Male,4:34:04,364.98
Raimondo,Male,22:49:47,600.08
Tommy,Male,16:54:24,62.13
Ernestus,Male,14:57:04,464.98
Bale,Male,19:28:21,717.67
Meggy,Female,9:11:56,909.07
Giusto,Male,10:59:20,151.71
Emeline,Female,6:02:11,693.81
Iris,Female,4:27:55,914.04
Almire,Female,15:54:15,915.27
Bethanne,Female,6:23:57,204.75
Denny,Female,12:01:13,458.81
Tabbie,Male,23:00:05,245.3
Tonya,Female,16:57:44,1.48
Darin,Male,18:29:10,951.82
Vinnie,Female,8:46:35,973.97
Reyna,Female,9:36:56,228.45
Alair,Male,20:12:35,540.01
Darrell,Male,3:56:26,786.41
Cicely,Female,15:46:39,152.65
Felicle,Female,17:47:59,481.58
Leelah,Female,15:47:30,804.99
Corinne,Female,17:11:05,258.85
Jacob,Male,15:25:24,316.79
Ericka,Female,7:23:56,729.84
Crissie,Female,19:43:11,708.0
Bryant,Male,16:50:53,693.46
Gail,Female,18:21:44,256.0
Carmelita,Female,1:42:21,693.86
Lucais,Male,2:51:24,93.2
Min,Female,22:58:29,48.06
Cly,Male,21:57:33,662.55
Jerry,Male,16:20:57,973.99
Monty,Male,5:16:11,901.29
Bryanty,Male,5:32:03,496.16
Lowrance,Male,9:25:55,108.44
Celestyn,Female,12:14:38,645.48
Giulio,Male,5:13:55,45.9
Ursulina,Female,18:43:08,434.97
Britta,Female,11:09:49,21.58
Ameline,Female,17:59:47,60.92
Bank,Male,4:12:00,309.56
Levy,Male,17:46:07,88.57
Berkie,Male,16:29:08,104.31
Zerk,Male,22:21:04,104.64
Gustavus,Male,18:20:56,119.69
Diannne,Female,9:19:53,206.8
Leonardo,Male,12:52:10,833.12
Rubie,Female,10:23:23,16.41
Taylor,Male,0:39:08,15.38
Josefina,Female,8:28:30,538.93
Maddi,Female,13:18:21,167.31
Kaja,Female,13:12:15,595.74
Finlay,Male,16:49:41,38.58
Serena,Female,20:10:28,60.62
Sybila,Female,23:31:01,197.5
Leland,Male,5:14:49,158.31
Boyd,Male,23:28:51,993.62
Brynn,Female,8:50:43,650.82
Adelaide,Female,4:09:16,897.49
Ali,Male,3:46:25,427.21
Bevin,Male,14:00:57,302.22
Genia,Female,23:43:03,995.41
Norma,Female,14:31:32,12.18
Moritz,Male,12:50:44,674.35
Flem,Male,3:42:02,415.09
Sallyann,Female,22:00:50,677.98
Clementius,Male,5:00:16,421.65
Garrard,Male,0:36:48,504.93
Euphemia,Female,11:36:51,37.05
Guillema,Female,3:02:08,299.79
Kyrstin,Female,16:24:03,736.96
Amos,Male,6:47:11,404.27
Gerry,Female,7:30:35,593.85
Rickie,Male,21:21:09,848.14
Albertina,Female,20:46:05,676.32
Berkly,Male,12:32:10,279.9
Cate,Female,10:55:21,869.51
Ibby,Female,8:32:27,395.15
Jaquelin,Female,8:33:12,172.56
Maude,Female,3:43:56,55.06
Tymothy,Male,5:48:11,648.82
Felicio,Male,1:21:04,11.92
Putnem,Male,4:45:41,865.55
Dorolice,Female,1:42:10,838.51
Cherri,Female,18:41:27,160.76
Bartholomeus,Male,8:30:36,664.43
Reina,Female,16:12:06,239.67
Koo,Female,12:09:22,623.15
Rozina,Female,14:53:31,9.45
Teddy,Male,21:12:04,206.18
Idalia,Female,0:17:44,307.85
Amaleta,Female,19:19:10,134.4
Sylvia,Female,21:14:12,697.39
Konstantin,Male,16:16:08,506.91
Emmott,Male,7:53:43,737.72
Cathy,Female,12:24:36,564.05
Fair,Male,18:49:00,483.43
Doris,Female,5:18:12,255.46
Margette,Female,11:09:58,977.02
Christabel,Female,15:28:08,373.54
Oona,Female,3:30:26,169.99
Alfy,Male,15:25:36,353.23
Elisabet,Female,9:51:00,833.36
Shana,Female,7:29:41,87.29
Shea,Male,5:22:51,135.98
Stanleigh,Male,23:43:09,271.5
Alisander,Male,19:24:51,321.52
Wendell,Male,15:19:58,943.72
Germaine,Male,5:52:45,879.32
Brody,Male,11:41:13,969.52
Levi,Male,14:23:55,645.16
Anna-maria,Female,23:17:02,306.11
Jourdan,Female,16:38:42,452.66
Jonathon,Male,14:55:05,487.96
Winnah,Female,21:32:44,444.88
Godwin,Male,4:38:48,262.25
Hinze,Male,11:08:08,785.07
Jared,Male,2:15:20,583.75
Crissy,Female,8:43:13,33.6
Hastie,Male,10:40:06,295.86
Arron,Male,17:49:02,388.49
Howard,Male,10:03:25,987.13
Flem,Male,18:29:20,562.01
Patin,Male,18:47:10,591.38
Zaneta,Female,12:30:15,713.97
Jan,Male,3:24:08,0.44
Tarrance,Male,15:45:57,459.23
Avrom,Male,9:27:07,870.0
Clovis,Female,2:26:00,13.33
Ortensia,Female,20:09:36,610.86
Connie,Male,22:04:29,584.9
Dacey,Female,1:34:31,257.07
Adelina,Female,8:10:45,560.72
Edyth,Female,11:25:25,294.44
Anestassia,Female,2:26:40,826.75
Mason,Male,12:51:32,869.7
Saunderson,Male,22:26:22,283.1
Demetris,Female,3:19:02,2.48
Margot,Female,1:13:07,464.41
Galven,Male,8:54:07,75.54
Benni,Female,16:17:23,803.43
Morey,Male,21:30:18,263.54
Garv,Male,2:16:18,372.35
Tedie,Male,2:40:15,423.86
Caresa,Female,13:27:18,642.92
Geordie,Male,9:04:18,539.84
Aldon,Male,1:21:06,167.22
Austin,Male,12:39:55,48.83
Shanan,Male,16:33:55,343.57
Gianna,Female,15:14:56,503.63
Simeon,Male,4:27:15,150.75
Howey,Male,12:12:51,628.68
Meghan,Female,5:10:42,691.8
Evelyn,Female,8:39:44,311.04
Yule,Male,11:27:54,168.54
Nannette,Female,11:26:37,35.41
Bendick,Male,21:19:05,572.35
Jeremy,Male,12:47:34,515.03
Rafael,Male,5:25:01,942.16
Peyter,Male,11:35:04,372.19
Bordie,Male,8:14:51,820.08
Christian,Male,2:29:14,297.0
Giustina,Female,23:23:21,109.5
Herold,Male,0:38:13,242.95
Jacki,Female,7:30:17,0.42
Marietta,Female,7:42:05,517.69
Adams,Male,3:33:27,168.12
Rollins,Male,13:01:13,89.59
Gabby,Male,22:07:14,738.16
Van,Female,18:59:59,609.69
Sidney,Male,18:37:14,959.52
Kara,Female,20:42:20,775.32
Selby,Male,12:03:49,237.51
Nevins,Male,4:34:23,289.9
Nedda,Female,15:24:33,547.17
Abram,Male,13:20:58,56.13
Maryanne,Female,0:45:30,961.29
Eldon,Male,23:10:32,74.91
Stephi,Female,8:44:20,270.44
Molli,Female,20:39:05,421.88
Keelby,Male,12:38:00,556.83
Ellette,Female,16:49:58,136.17
Terri,Female,19:54:20,297.53
Sibelle,Female,3:53:22,986.0
Alayne,Female,4:47:17,327.92
Derry,Male,20:45:36,361.52
Rey,Male,9:46:23,202.29
Ripley,Male,6:16:18,355.66
Eloise,Female,6:50:30,519.27
Conni,Female,15:10:27,499.75
Clifford,Male,21:43:59,923.16
Gerhardt,Male,9:21:22,309.34
Dalt,Male,23:06:17,777.68
Florri,Female,23:55:00,65.5
Hoyt,Male,2:42:33,290.15
Alex,Female,9:23:24,753.65
Star,Female,14:39:03,661.39
Maighdiln,Female,15:39:27,704.73
Case,Male,11:57:17,516.67
Susann,Female,12:35:18,649.94
Wilburt,Male,3:56:17,536.39
Bevvy,Female,16:30:01,481.12
Dahlia,Female,11:22:36,810.2
Anita,Female,5:12:59,335.32
Alfie,Female,18:12:23,427.16
Jeddy,Male,8:51:32,61.55
Dav,Male,3:00:53,97.03
Emmy,Female,6:26:35,510.29
Amalita,Female,13:30:50,271.02
Fawn,Female,12:44:31,935.91
Abbe,Male,5:32:57,790.84
Laird,Male,19:57:21,989.83
Earvin,Male,1:36:10,298.67
Towney,Male,13:39:54,300.28
Winnie,Male,21:43:49,328.41
Eadmund,Male,1:01:13,560.04
Christyna,Female,2:16:10,659.09
Alastair,Male,20:04:00,987.76
Dave,Male,6:48:04,35.27
Sayre,Female,15:06:36,311.47
Carleton,Male,21:13:51,230.09
Kerrin,Female,23:40:46,611.97
Ezmeralda,Female,11:26:21,397.93
Jacqueline,Female,5:27:54,644.53
Alvin,Male,13:03:28,401.85
Abigail,Female,11:54:39,219.98
Winnifred,Female,0:33:27,744.98
Tonye,Female,12:43:45,624.29
Nesta,Female,19:36:20,911.45
Rochell,Female,0:58:15,936.26
Haywood,Male,14:44:27,540.22
Gasparo,Male,0:09:59,474.23
Dru,Female,19:43:51,231.73
Keir,Male,6:54:31,960.68
Phillipe,Male,10:19:39,773.33
Daffy,Female,1:35:16,849.65
Issy,Female,22:09:20,267.33
Kiri,Female,2:09:49,339.44
Idalina,Female,7:37:22,891.45
Gauthier,Male,19:10:06,874.63
Benjy,Male,3:30:27,219.49
Kaela,Female,19:16:48,79.31
Ruddy,Male,21:28:41,941.69
Jaquenetta,Female,9:33:29,296.78
Chlo,Female,1:49:57,746.8
Adams,Male,4:41:15,761.67
Janine,Female,13:26:25,699.81
Adina,Female,19:21:27,693.31
Netta,Female,5:11:37,378.08
Karalee,Female,20:37:14,662.72
Rois,Female,13:25:56,754.18
Elroy,Male,6:51:16,25.57
Ara,Female,12:11:58,344.43
Bernete,Female,21:03:09,78.31
Rachelle,Female,23:27:40,616.85
Eugenio,Male,14:33:39,594.53
Roxi,Female,13:53:29,317.4
Felice,Female,16:33:01,350.21
Carol,Female,12:10:09,705.27
Erinna,Female,4:53:18,725.18
Traci,Female,12:53:16,613.2
Haley,Female,18:37:11,438.46
Anderea,Female,8:37:55,369.17
Chrissie,Female,1:35:02,49.31
Isaiah,Male,14:47:15,266.17
Dorita,Female,22:06:02,69.56
Bart,Male,14:25:35,914.49
Reese,Male,23:42:42,245.72
Gradey,Male,21:42:03,729.34
Brigit,Female,22:34:59,626.57
Carlie,Male,17:35:13,75.25
Kent,Male,19:37:29,306.43
Karita,Female,7:35:48,70.75
Joli,Female,13:10:05,588.72
Zorina,Female,13:56:54,917.84
Barr,Male,11:10:49,108.51
Constantine,Female,14:54:52,799.06
Shelden,Male,18:57:16,801.91
Kirk,Male,7:47:25,342.35
Roderick,Male,1:03:07,728.25
Latrena,Female,21:09:31,650.29
Morrie,Male,11:16:11,198.89
Yoshi,Female,10:49:47,208.74
Loralee,Female,11:13:37,778.32
Edmund,Male,1:07:31,101.42
Corny,Male,4:45:12,670.16
Ferrell,Male,15:29:23,839.33
Elvera,Female,23:34:30,708.63
Durant,Male,11:51:35,810.59
Linda,Female,17:54:52,508.71
Chrissie,Male,14:55:07,143.21
Fiorenze,Female,23:28:05,99.82
Clovis,Female,2:52:19,721.28
Viv,Female,23:56:23,824.66
Iggie,Male,2:03:39,521.19
Theo,Female,9:54:15,763.72
Tatiana,Female,9:37:24,178.45
Bernelle,Female,14:15:48,116.66
Bidget,Female,16:43:31,41.37
Amerigo,Male,6:33:48,895.69
Ricoriki,Male,11:11:36,738.64
Queenie,Female,8:02:35,855.54
Wandie,Female,22:24:09,982.23
Hymie,Male,13:04:43,647.17
Charline,Female,1:10:10,293.44
Guido,Male,10:24:35,390.15
Ezechiel,Male,6:06:54,55.29
Mattias,Male,19:59:10,156.94
Trueman,Male,17:40:48,63.77
Nolana,Female,5:09:33,103.75
Percival,Male,3:38:24,344.08
Bernette,Female,21:32:50,251.44
Xaviera,Female,21:21:01,194.18
Job,Male,19:33:49,5.86
Gabie,Female,23:22:15,297.28
Hendrika,Female,23:50:57,702.13
Gene,Male,19:23:01,817.47
Tynan,Male,10:26:36,49.22
Herby,Male,11:46:42,989.08
Onfroi,Male,10:08:39,473.65
Claudia,Female,19:46:20,476.27
Lettie,Female,11:28:56,446.98
Marsha,Female,21:39:03,455.57
Nancy,Female,20:04:13,369.28
Sherye,Female,22:07:50,470.13
Ezekiel,Male,21:55:40,221.71
Tracy,Female,1:55:33,792.71
Casandra,Female,19:38:13,612.08
Bette-ann,Female,23:23:34,429.08
Sibella,Female,5:20:44,877.54
Norrie,Male,23:00:30,838.95
Lannie,Male,18:46:16,303.06
Jone,Male,17:12:34,988.79
Murial,Female,15:46:46,748.84
Cindi,Female,16:28:34,573.19
Harlie,Female,15:59:05,752.81
Mort,Male,12:07:36,539.91
Tucker,Male,19:07:53,628.3
Desiri,Female,5:48:35,779.14
Martie,Male,3:16:51,848.4
Alvan,Male,13:43:30,314.53
Lionello,Male,18:13:56,287.79
Travus,Male,2:07:36,707.1
Myrah,Female,3:33:45,938.35
Raynor,Male,2:22:42,939.08
Ignazio,Male,15:14:07,710.01
Aviva,Female,22:21:53,522.93
Katharina,Female,23:38:09,448.86
Waly,Female,11:27:00,929.7
Malorie,Female,16:56:38,982.77
Jecho,Male,6:01:49,84.39
Harriette,Female,6:09:08,148.64
Babb,Female,23:54:59,65.34
Jory,Male,16:03:21,598.14
Pamela,Female,19:42:44,827.45
Kain,Male,22:02:31,354.73
Bessie,Female,2:34:58,943.91
Mick,Male,3:55:26,484.61
Sansone,Male,5:35:58,421.9
Abigail,Female,18:03:14,504.93
Ashil,Female,4:23:55,799.31
Bram,Male,20:29:43,693.58
Minor,Male,22:25:38,592.31
Armin,Male,15:23:13,604.75
Julieta,Female,15:02:48,441.27
Anthiathia,Female,3:37:45,368.87
Davon,Male,2:56:21,435.67
Amata,Female,13:15:58,764.18
Vilhelmina,Female,7:55:14,936.4
Danita,Female,2:59:17,996.22
Talbert,Male,2:49:08,227.41
Ethelbert,Male,22:11:59,10.01
Darrick,Male,7:23:41,816.69
Dillon,Male,16:12:03,728.08
Rayshell,Female,5:22:58,416.47
Emmy,Male,12:29:44,276.22
Herbie,Male,17:32:29,705.11
Allina,Female,11:53:38,735.12
Hannah,Female,4:36:13,617.43
Rebecca,Female,15:59:42,84.97
David,Male,7:39:16,113.52
Aurilia,Female,11:24:06,908.21
Mateo,Male,10:56:08,765.25
Mick,Male,15:48:47,782.97
Olivero,Male,19:31:23,549.34
Rosalind,Female,21:17:09,511.41
Alidia,Female,22:38:38,386.46
Calvin,Male,12:54:35,206.84
Matthias,Male,3:52:04,848.38
Bat,Male,15:27:10,926.07
Cece,Male,1:05:33,856.54
Edgar,Male,22:39:36,434.31
Cristabel,Female,18:00:11,187.13
Osborne,Male,16:58:11,932.31
Avis,Female,14:43:08,122.26
Wilton,Male,7:28:30,154.41
Allene,Female,3:37:10,229.37
Davy,Male,5:46:35,681.27
Moshe,Male,1:25:54,946.93
Roxy,Female,6:36:20,237.01
Urbanus,Male,16:11:55,20.77
Margette,Female,16:17:00,399.31
Rinaldo,Male,5:24:25,871.89
Titos,Male,11:03:17,423.53
Bret,Male,7:53:00,775.63
Theodosia,Female,16:33:27,790.35
Trumann,Male,20:42:55,121.3
Blake,Male,2:39:50,913.83
Dukie,Male,4:04:06,868.05
Carry,Female,4:26:10,485.34
Marci,Female,22:21:06,161.79
Mata,Male,22:20:13,496.32
Sher,Female,8:30:36,238.72
Loni,Female,13:06:15,569.39
Raff,Male,18:54:32,852.39
Laurice,Female,23:38:57,279.92
Camella,Female,0:12:09,329.45
Julee,Female,16:52:46,561.73
Rubetta,Female,23:29:04,380.28
Peter,Male,22:59:22,400.18
Mortimer,Male,23:15:45,918.77
Elianora,Female,1:18:21,123.52
Myrwyn,Male,20:17:28,185.32
Beryle,Female,22:05:11,158.56
Meade,Male,12:56:27,943.93
Clare,Male,11:28:50,892.12
Perrine,Female,13:40:16,667.94
Anette,Female,14:17:48,992.1
